NomSite,Adresse,CodePostal,CodeSite,NbBornes,Latitude,Longitude
BIBLIOTHEQUE DIDEROT,42 AVENUE DAUMESNIL,75012,PW0135,1,48.8459667166,2.37771613956
CENTRE SPORTIF LEON MOTTOT,17 CITE MOYNET,75012,PW0086,1,48.8438656929,2.3866294954
CENTRE SPORTIF LEO LAGRANGE,68 BOULEVARD PONIATOWSKI,75012,PW0084,1,48.8321648675,2.39933433594
MAIRIE DU 12 EME,130 AVENUE DAUMESNIL,75012,PW0012,1,48.8411040785,2.3883374877
PARC DE BERCY (ORANGERIE),1 COUR CHAMONARD,75012,PW0058-2,2,48.836091766,2.38325225953
PARC FLORAL,ROUTE DE LA PYRAMIDE,75012,PW0200,5,48.8401255449,2.43983524718
PARC DE BERCY (TERRASSE BERCY),1 COUR CHAMONARD,75012,PW0058-3,2,48.8368107135,2.3823502437
ESPACE REUILLY,21 RUE ANTOINE JULIEN HENARD,75012,PW0222,3,48.8425186203,2.38963308439
GYMNASE REUILLY,11 RUE ANTOINE JULIEN HENARD,75012,PW0099,1,48.8417054788,2.38917144192
COULEE VERTE - BASTILLE,38 AVENUE DAUMESNIL,75012,PW0216,1,48.847183089,2.37641951695
DIR SYSTEMES INFORMATION ET NUMERIQUE,227 RUE DE BERCY,75012,PW0999,2,48.8464756456,2.36970554709
ACTIVITES ARTISANALES ET CREATION DU 12EME,30 RUE DU FAUBOURG SAINT ANTOINE,75012,PW0120,3,48.8524066125,2.37164543506
PARC DE BERCY (JARDINAGE),1 COURS SAIT EMILION,75012,PW0058,1,48.8324189858,2.3854831767
COULEE VERTE - DAUMESNIL RAMBOUILLET,AVENUE DAUMESNIL - COIN RUE RAMBOUILLET,75012,PW0217,1,48.8446762067,2.38161576761
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 12,181 AVENUE DAUMESNIL,75012,PW0030,6,48.8404878126,2.39250677653
STADE CHARLETY,99 BOULEVARD KELLERMANN,75013,PW0169,6,48.819334381,2.34670165273
CENTRE SPORTIF DUNOIS,70 RUE DUNOIS,75013,PW0079,1,48.8331703217,2.36627858766
